date,ip_total,ip_manuf,retail_vol,construction,exports_vol,imports_vol,unemp_rate,services_iaf,services_H,services_J,services_N,real_wage_bill,hicp,esi_sk,ind_conf_sk,cons_conf_sk,esi_de,esi_ea,bond_10y,eur_usd
2016-06,-1.7606999268426954e-23,-1.942422135726775e-23,-1.2857542418043554e-23,-4.465304367319922e-24,-1.413118830455284e-23,-1.9239191083874184e-23,8.739872129610684e-24,-6.999077527460522e-24,-1.7547777621881772e-23,-2.532444480547685e-24,-5.6808192482915374e-24,-2.7468511919545313e-23,8.351105609440435e-26,-2.4094233339569115e-23,-1.2112299146545495e-23,-2.830710758266057e-23,-1.2950053532318188e-22,-1.0204078493414006e-22,4.082642502575567e-24,2.862019829932881e-25
2016-07,-1.3407424229500542e-23,-1.4892436620403983e-23,-9.748921363023357e-24,-3.0611781780961947e-24,-1.231674443790622e-23,-1.5878867469188066e-23,1.2609146878818526e-23,-7.181957362511589e-24,-1.2442641363022789e-23,-1.6394179865496253e-24,-4.957489166627843e-24,-5.483318877154274e-23,1.0734998260945374e-25,-4.6611543703956104e-23,-1.8134794720379072e-23,-5.69026921323307e-23,-2.614804450461522e-22,-2.0573072751003071e-22,4.842846646316042e-24,3.3437809008513465e-25
2016-08,1.4564723035898065e-23,1.5971787342842032e-23,1.0675693378889657e-23,4.0158601970057446e-24,1.0211266852040328e-23,1.4747811307098574e-23,-1.573774178599208e-24,4.0301283964554e-24,1.5389399719370512e-23,2.369401990673146e-24,4.0992059634316154e-24,-9.496933785604284e-24,-2.7513229525335204e-26,-6.918822658842689e-24,1.553881718985319e-24,-1.0162561101195506e-23,-4.759371773370277e-23,-3.721253268589864e-23,-1.729994576713551e-24,-1.2613616042134712e-25
2016-09,4.708202779305534e-23,5.1851083532259314e-23,3.4419083169784885e-23,1.2242887531511548e-23,3.639959436249792e-23,5.0350796725036497e-23,-1.806037652068197e-23,1.7063776565980768e-23,4.774396901012423e-23,7.029652720747066e-24,1.462741792635229e-23,4.3200920077911634e-23,-1.8428369884670146e-25,3.9219325042200227e-23,2.4440423805534788e-23,4.416707058170252e-23,2.0102303037226137e-22,1.586689762326486e-22,-9.370590998224336e-24,-6.614614993131177e-25
2016-10,5.910662550077854e-23,6.52433875984572e-23,4.3147679667813066e-23,1.4868235944239205e-23,4.799718669931042e-23,6.502710344497348e-23,-3.147795755589643e-23,2.4161091976299516e-23,5.857752806676733e-23,8.397618186617933e-24,1.9297332025241122e-23,1.0439220924198223e-22,-2.96061172965064e-25,9.103487664804778e-23,4.3861356915918926e-23,1.0772126595720924e-22,4.932242014912335e-22,3.885298521032827e-22,-1.432814723602129e-23,-1.0025965387019187e-24
2016-11,2.429864597453021e-23,2.695093924334675e-23,1.7684387300828937e-23,5.678610581481253e-24,2.1721921524716905e-23,2.830395785085257e-23,-2.055598404526398e-23,1.2301788242661993e-23,2.2904790407460328e-23,3.0826038882559635e-24,8.74102194246095e-24,8.629695526450808e-23,-1.7767959118952493e-25,7.357622315675102e-23,2.9429765404599153e-23,8.949578306254313e-23,4.1108350506015705e-22,3.2348150149639823e-22,-8.108170181233344e-24,-5.611012849778786e-25
2016-12,-5.272329544323336e-23,-5.764253625558971e-23,-3.871734874720508e-23,-1.5120748635102337e-23,-3.428575278350205e-23,-5.127147803165844e-23,-4.550831526244156e-24,-1.1400654205196472e-23,-5.729152628887296e-23,-9.074487488811577e-24,-1.3751662572894206e-23,9.275490031984569e-23,2.4280450357700648e-26,7.369380571087352e-23,9.713446269332168e-24,9.762732723534646e-23,4.526132767183212e-22,3.5506844156463534e-22,3.277938378354397e-24,2.561881032627214e-25
2017-01,-1.7467827994871827e-22,-1.9165431254093334e-22,-1.2799451500292512e-22,-4.7825667776633154e-23,-1.2401519637455593e-22,-1.7809704604014421e-22,2.480133836651029e-23,-5.0178131525501044e-23,-1.836533445940107e-22,-2.812914267787836e-23,-4.979153582474711e-23,8.01376295123424e-23,3.7353069704672274e-25,5.484407663649429e-23,-2.7506852004355594e-23,8.66962715983795e-23,4.086792513844377e-22,3.1885556260710763e-22,2.2474309410929243e-23,1.6286899610799348e-24
2017-02,-3.222705208662342e-22,-3.551679736961182e-22,-2.3548925334414046e-22,-8.295066325197139e-23,-2.53053086625694e-22,-3.477258924201821e-22,1.3855256062736275e-22,-1.214446707292714e-22,-3.2449497067913897e-22,-4.739232256207445e-23,-1.0170690485926669e-22,-3.8076272076335594e-22,1.3711373547882035e-24,-3.3933425030842506e-22,-1.8964045976410318e-22,-3.9096447771445745e-22,-1.7844289840747248e-21,-1.4071476870139932e-21,6.848911813452075e-23,4.819637192869339e-24
2017-03,-2.8235135721726815e-22,-3.133883201912528e-22,-2.0540353035956012e-22,-6.525819880920396e-23,-2.5574842638099366e-22,-3.3152923546978608e-22,2.516360253013873e-22,-1.4692155857019087e-22,-2.641814272645421e-22,-3.5199933330594097e-23,-1.0292631313336936e-22,-1.0755449965139108e-21,2.15853082256484e-24,-9.156022637969788e-22,-3.6109555186170004e-22,-1.1157856951729503e-21,-5.126255980365457e-21,-4.033565458952559e-21,9.793771411880791e-23,6.769854562254171e-24
2017-04,2.731646441372474e-22,2.9481534112975936e-22,2.0218537425787528e-22,9.11922831729051e-23,1.1866534788780072e-22,2.1908287435558116e-22,2.4921813351868807e-22,-1.1129662909443661e-23,3.3168730136079777e-22,5.796811078089047e-23,4.7310749284946306e-23,-1.7659327402436317e-21,1.5325282472512502e-24,-1.4529691164041324e-21,-3.8805312860018453e-22,-1.845406420951643e-21,-8.517392252010038e-21,-6.6916550143777086e-21,4.8731088462618455e-23,3.085505748263912e-24
2017-05,1.5612467593081107e-21,1.7184749300681816e-21,1.1417199534726196e-21,4.090387272111471e-22,1.1929596819252906e-21,1.658542122010144e-21,-5.451035906201542e-22,5.491057265563148e-22,1.5915042948773252e-21,2.357147561866991e-22,4.793416660989397e-22,1.1261840558654215e-21,-5.715612667800537e-24,1.0452096720080197e-21,7.299510280361636e-22,1.1452962693767724e-21,5.19477581198977e-21,4.105013162732174e-21,-2.9506715641992214e-22,-2.088236036547825e-23
2017-06,2.2911815662085346e-21,2.5321037925137907e-21,1.6712990942207829e-21,5.661638439490823e-22,1.907265803131937e-21,2.557570581195475e-21,-1.3989764873695676e-21,9.9218844058904e-22,2.243056089782043e-21,3.1684358910444804e-22,7.669993674522886e-22,5.065031620789665e-21,-1.2790308289009439e-23,4.377533687031706e-21,1.9678098979625394e-21,5.237044633997338e-21,2.4009614587239253e-20,1.8905149642643517e-20,-6.074766499984907e-22,-4.23605800726459e-23
2017-07,5.988704256002261e-22,6.853994224972057e-22,4.271008819105942e-22,6.908003438334404e-23,8.60632651317469e-22,9.543911857962755e-22,-1.75116611959582e-21,6.903744936089448e-22,3.722754154818055e-22,1.5566215630657694e-23,3.474656499599638e-22,9.216425471591779e-21,-1.3525801763385402e-23,7.721432184531263e-21,2.588098071280059e-21,9.594370701984652e-21,4.417590192471944e-20,3.473433569835705e-20,-5.62290167810025e-22,-3.816849664699429e-23
